row_index,csv_line,C,N_B_saved,N_B_regenerated,N_B_delta,D_B_saved,D_B_regenerated,D_B_delta,Q_saved,Q_regenerated,Q_delta,L_saved,L_regenerated,L_delta,D_over_N_saved,D_over_N_regenerated,D_over_N_delta,c_qual_saved,c_qual_regenerated,c_qual_delta,f_qual_saved,f_qual_regenerated,f_qual_delta,saved_budget_relative_residual,saved_loss_formula_error,saved_Q_minus_Q0,saved_bounds_ok,saved_profile_N_B,saved_profile_D_B,saved_profile_Q,saved_profile_L,saved_loss_minus_profile,saved_reevaluated_loss_minus_profile,saved_profile_N_relative_error,saved_profile_D_relative_error,regenerated_budget_relative_residual,regenerated_loss_formula_error,regenerated_Q_minus_Q0,regenerated_bounds_ok,regenerated_profile_N_B,regenerated_profile_D_B,regenerated_profile_Q,regenerated_profile_L,regenerated_loss_minus_profile,regenerated_reevaluated_loss_minus_profile,regenerated_profile_N_relative_error,regenerated_profile_D_relative_error,new_minus_saved_loss_same_old_parameters
2,4,1.2589254117941714e+18,0.0868518255017623,0.0868518276945743,2.1928119875447294e-09,2.2614663047414894,2.2614662476445853,-5.709690409361201e-08,0.5486879207625752,0.5486879207625753,1.1102230246251565e-16,3.663039118263545,3.663039117814479,-4.4906611762485227e-10,26.038212687833497,26.038211373021667,-1.3148118291894662e-06,0.0,943.5572465367376,943.5572465367376,0.0,7.494941620028278e-16,7.494941620028278e-16,2.220446049250313e-16,-4.737175096636292e-10,0.0,True,0.08685182913883262,2.2614662100386824,0.5486879207625752,3.6630391177898276,4.737175096636292e-10,0.0,-4.1876726692500703e-08,4.187672869460337e-08,6.661338147750939e-16,-4.440892098500626e-16,1.1102230246251565e-16,True,0.08685182925233888,2.2614662070831826,0.5486879207625752,3.6630391178144786,4.440892098500626e-16,0.0,-1.7935886870806968e-08,1.7935887148791577e-08,0.0
4,6,1.5848931924611108e+18,0.0965246115283215,0.0965246056652571,-5.863064395095208e-09,2.561716171859393,2.561716327462279,1.5560288613158946e-07,0.5486879207625752,0.5486879207625754,2.220446049250313e-16,3.600511203757813,3.600511203158832,-5.989808649076167e-10,26.539512890013054,26.539516114121135,3.2241080809569667e-06,0.0,1984.9724922781963,1984.9724922781963,0.0,1.252432972594084e-15,1.252432972594084e-15,2.220446049250313e-16,-5.708837846896131e-10,0.0,True,0.09652461275828503,2.56171613921676,0.5486879207625752,3.600511203186929,5.708837846896131e-10,0.0,-1.27424860732654e-08,1.2742486390789604e-08,2.886579864025407e-15,-4.440892098500626e-16,2.220446049250313e-16,True,0.09652461288276193,2.5617161359132035,0.5486879207625752,3.600511203158832,0.0,-4.440892098500626e-16,-7.477372469413823e-08,7.477373196299799e-08,0.0
5,7,1.7782794100389228e+18,0.1017577834223289,0.1017577911435221,7.721193198695353e-09,2.726474462109504,2.726474255229688,-2.068798159449159e-07,0.5486879207625754,0.5486879207625752,-2.220446049250313e-16,3.570046712539743,3.5700467118727723,-6.669704788464514e-10,26.793768205363904,26.793764139241084,-4.066122819779139e-06,2112.6370434417454,0.0,-2112.6370434417454,1.1880231146552522e-15,0.0,-1.1880231146552522e-15,3.552713678800501e-15,-6.15492101729842e-10,2.220446049250313e-16,True,0.10175777852189238,2.7264745934106633,0.5486879207625752,3.570046711924251,6.154916576406322e-10,-4.440892098500626e-16,4.815785668763777e-08,-4.8157851753262505e-08,1.3322676295501878e-14,8.881784197001252e-16,0.0,True,0.10175777865223734,2.7264745899182308,0.5486879207625752,3.570046711872775,-2.6645352591003757e-15,-1.7763568394002505e-15,1.227550848888385e-07,-1.2275505661987285e-07,-1.7763568394002505e-15
6,8,1.995262314968883e+18,0.1072746661976501,0.1072746662458716,4.8221510118295896e-11,2.9018295609894023,2.9018295596849883,-1.304413910219182e-09,0.5486879207625752,0.5486879207625754,2.220446049250313e-16,3.5401030665793347,3.540103065848845,-7.304898907989354e-10,27.050464604969022,27.05046458064989,-2.4319131597394517e-08,0.0,2248.5127613487757,2248.5127613487757,0.0,1.1269258906360101e-15,1.1269258906360101e-15,4.440892098500626e-16,-6.575509026163218e-10,0.0,True,0.10727466491515904,2.9018295956813804,0.5486879207625752,3.5401030659217843,6.575504585271119e-10,-4.440892098500626e-16,1.195520917088081e-08,-1.1955208614144291e-08,1.5543122344752192e-15,0.0,2.220446049250313e-16,True,0.10727466505164246,2.9018295919894403,0.5486879207625752,3.5401030658488453,-4.440892098500626e-16,-4.440892098500626e-16,1.1132443485642663e-08,-1.1132442818656398e-08,0.0
8,10,2.511886431509572e+18,0.1192219588396605,0.1192219510519505,-7.78770999076972e-09,3.2870992652491773,3.2870994799661584,2.147169810839955e-07,0.5486879207625753,0.5486879207625752,-1.1102230246251565e-16,3.481742843529852,3.4817428426851835,-8.446683352758555e-10,27.571256983538888,27.571260585509265,3.6019703770762135e-06,1371.484688326373,0.0,-1371.484688326373,5.459978887270592e-16,0.0,-5.459978887270592e-16,1.1102230246251565e-15,-7.343192720554725e-10,1.1102230246251565e-16,True,0.11922196218986489,3.287099172879832,0.5486879207625752,3.4817428427955326,7.343192720554725e-10,0.0,-2.8100564108716895e-08,2.810056533241194e-08,4.440892098500626e-15,0.0,0.0,True,0.11922196233948514,3.2870991687546143,0.5486879207625752,3.481742842685184,-4.440892098500626e-16,-4.440892098500626e-16,-9.467663849601321e-08,9.467665200029493e-08,0.0
10,12,3.1622776601683794e+18,0.1324998415742463,0.1324998483210782,6.746831898718497e-09,3.723520192825138,3.7235200032251856,-1.8959995218281733e-07,0.5486879207625753,0.5486879207625752,-1.1102230246251565e-16,3.425361107666639,3.425361106724099,-9.425398239670812e-10,28.10207279182793,28.102069929938505,-2.8618894241105863e-06,1553.5736888513543,0.0,-1553.5736888513543,4.91283136968002e-16,0.0,-4.91283136968002e-16,8.881784197001252e-16,-8.017595476417227e-10,1.1102230246251565e-16,True,0.13249984308637128,3.72352015033129,0.5486879207625752,3.4253611068648793,8.017595476417227e-10,0.0,-1.1412277520955986e-08,1.1412278242175556e-08,2.220446049250313e-16,4.440892098500626e-16,0.0,True,0.13249984325036157,3.723520145722823,0.5486879207625752,3.4253611067240994,-4.440892098500626e-16,0.0,3.82696047027439e-08,-3.826960286737905e-08,0.0
11,13,3.5481338923357604e+18,0.1396834520043867,0.1396834174033929,-3.4600993792377466e-08,3.963000372453572,3.963001354128819,9.81675246869429e-07,0.5486879207625753,0.5486879207625756,2.220446049250313e-16,3.3978911222906376,3.3978911213049705,-9.856671034924602e-10,28.37129463502317,28.37130869073767,1.405571450163734e-05,1653.4926061138517,4488.052471187565,2834.5598650737134,4.66017533804325e-16,1.2649050479414264e-15,7.988875141371014e-16,2.220446049250313e-15,-8.32153013163861e-10,1.1102230246251565e-16,True,0.13968343722581975,3.963000791740686,0.5486879207625752,3.3978911214584846,8.32153013163861e-10,0.0,1.0580042449586146e-07,-1.0580041134266635e-07,6.661338147750939e-15,0.0,3.3306690738754696e-16,True,0.13968343739749217,3.963000786870116,0.5486879207625752,3.397891121304971,-4.440892098500626e-16,-4.440892098500626e-16,-1.431386543575872e-07,1.4313868041630174e-07,0.0
13,15,4.4668359215096166e+18,0.1552401524384841,0.155240151131054,-1.3074301086213325e-09,4.489159248686697,4.489159286494297,3.780759971760972e-08,0.5486879207625753,0.5486879207625752,-1.1102230246251565e-16,3.3443520684349624,3.3443520673740745,-1.0608878220352835e-09,28.917513788615874,28.917514275701404,4.870855292438137e-07,1873.0231965069104,0.0,-1873.0231965069104,4.1931766230488734e-16,0.0,-4.1931766230488734e-16,9.103828801926284e-15,-8.866138934138235e-10,1.1102230246251565e-16,True,0.1552401350743699,4.489159750813726,0.5486879207625752,3.34435206754835,8.866125611461939e-10,-1.3322676295501878e-15,1.1185325363017688e-07,-1.1185323239036103e-07,2.4424906541753444e-15,0.0,0.0,True,0.15524013526247474,4.4891597453742,0.5486879207625752,3.344352067374074,4.440892098500626e-16,4.440892098500626e-16,1.0221956602487474e-07,-1.0221955309958147e-07,1.3322676295501878e-15
14,16,5.011872336272715e+18,0.163656623202469,0.1636566077599603,-1.544250868845687e-08,4.777882734044756,4.77788318488201,4.5083725463967994e-07,0.5486879207625753,0.5486879207625752,-1.1102230246251565e-16,3.3182670782525325,3.31826707715932,-1.0932126315310597e-09,29.194557730387505,29.194563239938734,5.509551229465615e-06,1993.488021988469,0.0,-1993.488021988469,3.9775315256154523e-16,0.0,-3.9775315256154523e-16,4.440892098500626e-16,-9.108083176556647e-10,1.1102230246251565e-16,True,0.1636566139059749,4.777883005451804,0.5486879207625752,3.3182670773417238,9.108087617448746e-10,4.440892098500626e-16,5.68048785360554e-08,-5.6804875407272606e-08,2.220446049250313e-16,0.0,0.0,True,0.16365661410286172,4.777882999703781,0.5486879207625752,3.31826707715932,0.0,0.0,-3.875737904688865e-08,3.8757380456269136e-08,0.0
16,18,6.309573444801943e+18,0.1818832215465052,0.1818832426361732,2.1089667984197646e-08,5.4122323708103215,5.412231743252892,-6.275574291336738e-07,0.5486879207625753,0.5486879207625752,-1.1102230246251565e-16,3.267427382668928,3.267427381521105,-1.1478231698447416e-09,29.75663354096948,29.756626640306536,-6.900662945952263e-06,2258.1593153281365,0.0,-2258.1593153281365,3.578941326356207e-16,0.0,-3.578941326356207e-16,-3.3306690738754696e-16,-9.534266709465555e-10,1.1102230246251565e-16,True,0.1818832307763504,5.412232096161218,0.5486879207625752,3.267427381715501,9.534271150357654e-10,4.440892098500626e-16,-5.0745993208365755e-08,5.074599510519538e-08,2.6645352591003757e-15,4.440892098500626e-16,0.0,True,0.18188323099201684,5.4122320897437115,0.5486879207625752,3.267427381521106,-8.881784197001252e-16,-4.440892098500626e-16,6.401995553870889e-08,-6.401994840615053e-08,-8.881784197001252e-16
