param,saved,regenerated,delta,relative_delta
E,1.655829298277712,1.6558293015550336,3.2773215252746013e-09,1.9792629159802052e-09
A,0.3807738432831394,0.3807738416630584,-1.620081013786745e-09,-4.25470667790085e-09
alpha,0.3266200361390786,0.3266200371518493,1.012770700636878e-09,3.1007610941712973e-09
B,1.2514914814202815,1.251491479375399,-2.0448824855634484e-09,-1.6339563759896874e-09
beta,0.2766577594921601,0.2766577602662535,7.740934004907274e-10,2.798018034670969e-09
C,0.3544331548328615,0.3544331537622079,-1.0706535658044913e-09,-3.0207489090837873e-09
gamma,0.9778867817378788,0.9778867739627656,-7.775113219921082e-09,-7.950933957920283e-09
