dataset,n,n_groups,within_ND_corr,conclusion
B6,360,45,-0.9247886196145926,Q 越大损失越低 -> 质量指标（越高越好）
B7,450,45,-0.9184291685767082,Q 越大损失越低 -> 质量指标（越高越好）
B8-calibrated,984,90,0.9954208774772993,Q 越大损失越高 -> 方向与 B6/B7 相反
B8-extrapolated,720,60,0.9675501108235166,Q 越大损失越高 -> 方向与 B6/B7 相反
