Q,dN_per_dQ(B),dN_for_dQ_0.1(B)
0.3,2.808913510459981,0.2808913510459981
0.30873417721518986,2.8096935169139132,0.2809693516913913
0.31746835443037974,2.8104836624594167,0.2810483662459417
0.3262025316455696,2.811284211197946,0.2811284211197946
0.3349367088607595,2.8120954376465597,0.28120954376465596
0.34367088607594937,2.8129176272918524,0.28129176272918527
0.35240506329113924,2.813751077181154,0.2813751077181154
0.36113924050632906,2.8145960965540615,0.2814596096554062
0.36987341772151894,2.815453007517642,0.2815453007517642
0.3786075949367088,2.816322145768968,0.2816322145768968
0.3873417721518987,2.8172038613690416,0.28172038613690414
0.39607594936708856,2.8180985195725357,0.28180985195725355
0.40481012658227844,2.8190065017182504,0.28190065017182503
0.4135443037974683,2.819928206185707,0.2819928206185707
0.4222784810126582,2.8208640494238426,0.2820864049423843
0.43101265822784807,2.821814467058417,0.2821814467058417
0.43974683544303794,2.822779915085495,0.28227799150854954
0.4484810126582278,2.8237608711591133,0.28237608711591133
0.4572151898734177,2.824757835982217,0.28247578359822173
0.46594936708860757,2.8257713348109474,0.28257713348109476
0.47468354430379744,2.82680191908354,0.28268019190835403
0.4834177215189873,2.8278501681864174,0.28278501681864177
0.4921518987341772,2.8289166913715746,0.28289166913715746
0.5008860759493671,2.830002129841067,0.2830002129841067
0.509620253164557,2.8311071590163706,0.28311071590163706
0.5183544303797468,2.8322324910126255,0.28322324910126256
0.5270886075949367,2.8333788773403654,0.28333788773403656
0.5358227848101266,2.8345471118602568,0.28345471118602567
0.5445569620253163,2.8357380340198253,0.2835738034019825
0.5532911392405062,2.836952532405053,0.2836952532405053
0.5620253164556961,2.8381915486443035,0.2838191548644304
0.570759493670886,2.8394560817073273,0.2839456081707327
0.5794936708860758,2.8407471926482954,0.2840747192648296
0.5882278481012657,2.8420660098489994,0.28420660098489997
0.5969620253164556,2.84341373482682,0.284341373482682
0.6056962025316455,2.844791648682021,0.2844791648682021
0.6144303797468353,2.846201119270658,0.2846201119270658
0.6231645569620252,2.8476436092032515,0.28476436092032514
0.6318987341772151,2.849120684785925,0.2849120684785925
0.640632911392405,2.85063402604036,0.285063402604036
0.6493670886075948,2.852185437962508,0.28521854379625083
0.6581012658227847,2.853776863208339,0.2853776863208339
0.6668354430379746,2.8554103964291606,0.28554103964291605
0.6755696202531645,2.8570883005205503,0.28570883005205505
0.6843037974683543,2.8588130250996144,0.28588130250996147
0.6930379746835442,2.860587227587306,0.2860587227587306
0.7017721518987341,2.86241379734897,0.286241379734897
0.710506329113924,2.8642958834409464,0.28642958834409465
0.7192405063291138,2.8662369266290013,0.28662369266290016
0.7279746835443037,2.8682406964922422,0.28682406964922424
0.7367088607594936,2.8703113346127878,0.2870311334612788
0.7454430379746835,2.8724534050886663,0.28724534050886663
0.7541772151898734,2.874671953911095,0.28746719539110954
0.7629113924050632,2.8769725791392196,0.287697257913922
0.7716455696202531,2.8793615143154807,0.2879361514315481
0.780379746835443,2.8818457282346386,0.2881845728234639
0.7891139240506329,2.88443304506772,0.28844330450677197
0.7978481012658227,2.887132290032241,0.2887132290032241
0.8065822784810126,2.889953467412463,0.28899534674124633
0.8153164556962025,2.892907979944509,0.28929079799445095
0.8240506329113924,2.8960089016532065,0.28960089016532065
0.8327848101265822,2.8992713205566543,0.28992713205566545
0.8415189873417721,2.9027127738507716,0.2902712773850772
0.850253164556962,2.906353807206633,0.2906353807206633
0.8589873417721519,2.910218703193843,0.2910218703193843
0.8677215189873417,2.9143364441061643,0.2914336444106164
0.8764556962025316,2.918742005867023,0.29187420058670227
0.8851898734177215,2.92347812962813,0.292347812962813
0.8939240506329114,2.928597799431184,0.2928597799431184
0.9026582278481012,2.9341677926688488,0.29341677926688486
0.9113924050632911,2.94027391333885,0.294027391333885
0.920126582278481,2.947028965079559,0.2947028965079559
0.9288607594936709,2.9545853862166367,0.29545853862166366
0.9375949367088607,2.963156251469135,0.2963156251469135
0.9463291139240506,2.9730523067544397,0.29730523067544395
0.9550632911392405,2.9847523893878276,0.29847523893878275
0.9637974683544304,2.9990513821460363,0.29990513821460363
0.9725316455696202,3.0174176104550017,0.3017417610455002
0.9812658227848101,3.0430605486578908,0.3043060548657891
0.99,3.0855985564213047,0.3085598556421305
