dataset,n,性质,r,RMSE,MAPE_%
"B2_Cerebras(半合成,族外)",1029,半合成,0.665963794308324,1.2451893051221263,33.68862736091977
B4_跨族收敛点(真实),57,真实,0.9753392295440784,0.29324623067370315,8.83447926455691
B5_已发表标度律(真实),44,真实,0.9099475639830257,0.19342379836466958,7.990596751960301
B7_质量扩展新增点(半合成),90,半合成,0.9907681638538373,0.05560217271280155,1.5865666734910915
B8_校准段(Q 反向重定向),984,半合成,0.6377831521589662,1.2941494274937395,133.44162466493052
B10_百亿参数以上(估算),128,估算,0.9999747502121304,0.019937304047013868,1.0147758282980333
