Q,不可约损失下限
0.3,1.9058970913302562
0.30873417721518986,1.9028454712576508
0.31746835443037974,1.8997929984154893
0.3262025316455696,1.8967396616476069
0.3349367088607595,1.893685449505349
0.34367088607594937,1.8906303502359594
0.35240506329113924,1.8875743517703465
0.36113924050632906,1.8845174417101873
0.36987341772151894,1.8814596073143195
0.3786075949367088,1.8784008354843769
0.3873417721518987,1.8753411127496118
0.39607594936708856,1.8722804252508465
0.40481012658227844,1.8692187587234914
0.4135443037974683,1.8661560984795598
0.4222784810126582,1.8630924293886055
0.43101265822784807,1.8600277358575013
0.43974683544303794,1.8569620018089679
0.4484810126582278,1.853895210658755
0.4572151898734177,1.850827345291371
0.46594936708860757,1.8477583880342396
0.47468354430379744,1.8446883206301545
0.4834177215189873,1.8416171242078943
0.4921518987341772,1.8385447792508354
0.5008860759493671,1.8354712655633958
0.509620253164557,1.832396562235112
0.5183544303797468,1.8293206476021457
0.5270886075949367,1.8262434992059782
0.5358227848101266,1.8231650937490365
0.5445569620253163,1.8200854070469596
0.5532911392405062,1.8170044139771808
0.5620253164556961,1.8139220884234628
0.570759493670886,1.8108384032159852
0.5794936708860758,1.8077533300665223
0.5882278481012657,1.8046668394982037
0.5969620253164556,1.8015789007692802
0.6056962025316455,1.7984894817902386
0.6144303797468353,1.79539854903353
0.6231645569620252,1.7923060674350644
0.6318987341772151,1.7892120002865195
0.640632911392405,1.786116309117363
0.6493670886075948,1.7830189535653331
0.6581012658227847,1.7799198912339336
0.6668354430379746,1.7768190775352741
0.6755696202531645,1.7737164655163267
0.6843037974683543,1.7706120056663506
0.6930379746835442,1.7675056457028697
0.7017721518987341,1.7643973303331337
0.710506329113924,1.7612870009874508
0.7192405063291138,1.7581745955201282
0.7279746835443037,1.7550600478729512
0.7367088607594936,1.7519432876951524
0.7454430379746835,1.7488242399126137
0.7541772151898734,1.74570282423754
0.7629113924050632,1.7425789546079633
0.7716455696202531,1.7394525385440787
0.780379746835443,1.7363234764054032
0.7891139240506329,1.7331916605289177
0.7978481012658227,1.730056974223381
0.8065822784810126,1.7269192905885424
0.8153164556962025,1.7237784711194546
0.8240506329113924,1.7206343640447066
0.8327848101265822,1.717486802332072
0.8415189873417721,1.714335601274061
0.850253164556962,1.711180555536722
0.8589873417721519,1.7080214355138965
0.8677215189873417,1.7048579827700068
0.8764556962025316,1.7016899042677724
0.8851898734177215,1.6985168649472588
0.8939240506329114,1.6953384780227367
0.9026582278481012,1.6921542920473958
0.9113924050632911,1.6889637732782337
0.920126582278481,1.68576628099344
0.9288607594936709,1.6825610318499165
0.9375949367088607,1.6793470464331395
0.9463291139240506,1.676123065272818
0.9550632911392405,1.6728874088250667
0.9637974683544304,1.669637725096388
0.9725316455696202,1.6663704828446047
0.9812658227848101,1.6630797751592505
0.99,1.6597535854156649
