method,training_cutoff,holdout,n,RMSE,MAE
logistic条件曲线,2024-09,2024-10至2025-03,6,11.139537612045002,9.53165808217888
保持最后累计峰值,2024-09,2024-10至2025-03,6,0.0,0.0
