diagnostic,n,K,r,t0,training_R2,value_2026_03,value_2027_03,active_bound
原14点,14,56.61015835873779,2.522783031648232,5.110918224289404,0.975047701640242,56.32654893658683,56.58729733292205,无
仅保留C1月度点,10,52.93215750867822,4.999999999999999,5.281037170836993,0.8701679384705241,52.928701134159496,52.93213421829933,r上界
去掉末3个月,11,71.40353344426846,1.9086853386354319,5.374695364576467,0.9768581455299429,69.31020725536828,71.08519626345401,无
相同累计值仅留首次,5,99.99999999999999,1.8564437956112974,5.709993439677439,0.9846529258203004,94.16724961533505,99.04159770231874,K上界
