diagnostic,n,b_P,time_coefficient,R2
年份标签（原规格）,2346,13.842039557725943,4.843812529258715,0.47473516214708555
按名称保留首条,2294,13.977429593231411,4.85843641278899,0.47347080446798273
按名称保留末条,2294,13.960450670445262,4.874508261581187,0.4733372921932988
年份标签并控制类型,2346,12.89354019222207,4.462237451033888,0.4964140826173248
实际提交日连续年数,2346,14.167886504274197,13.803144359069911,0.515980761302157
