类别,维度数,平均最优得分,整体前5%均值,整体中位数
BBH子任务,24,81.78060698246304,82.0,48.8
MATH子任务,7,55.506896807519524,43.90243902439025,3.7037037037037033
GPQA子集,3,46.16066803566804,38.392857142857146,28.78787878787879
MUSR子任务,3,66.815625,57.199999999999996,39.453125
