Year,avg,P,cum_avg,frontier_model,frontier_record_year,t,logP
2019,5.0,1.5,5.0,GPT-2 (1.5B),2019,0,0.17609125905568124
2021,5.0,1.5,5.0,GPT-2 (1.5B),2019,2,0.17609125905568124
2022,5.0,1.5,5.0,GPT-2 (1.5B),2019,3,0.17609125905568124
2023,10.0,7.0,10.0,LLaMA (7B),2023,4,0.8450980400142568
2024,52.08,77.965,52.08,MaziyarPanahi/calme-3.2-instruct-78b,2024,5,1.891899683226219
2025,47.22,77.965,52.08,MaziyarPanahi/calme-3.2-instruct-78b,2024,6,1.891899683226219
