情景,前瞻年数,Δlog10P假设,bt假设(分/年),结构外推前沿
基准（前沿模型规模持平，非规模增速不变）,1,0.0,4.843812529258715,55.84199766238371
算力增长放缓（非规模增速减半）,1,0.0,2.4219062646293574,53.420091397754355
规模继续扩张（前沿 +0.3 dex/年）,1,0.3,4.843812529258715,59.994609529701506
基准（前沿模型规模持平，非规模增速不变）,2,0.0,4.843812529258715,60.68581019164243
算力增长放缓（非规模增速减半）,2,0.0,2.4219062646293574,55.84199766238371
规模继续扩张（前沿 +0.3 dex/年）,2,0.3,4.843812529258715,68.99103392627802
