task,n,max,top1_mean,median,headroom_%
GPQA,2346,27.740492170022367,22.799338585740685,5.7046979865771785,72.25950782997764
MUSR,2346,38.688020833333326,28.056702898550725,9.973046875000001,61.311979166666674
MATH Lvl 5,2346,62.53776435045317,58.02246157887824,9.93202416918429,37.46223564954683
BBH,2346,65.46659667305961,59.94703577849987,28.522217882002792,34.53340332694039
MMLU-PRO,2346,66.80149231678487,55.25900336622469,25.975177304964536,33.19850768321513
IFEval,2346,89.97581971391463,84.45007073983986,43.50927760564191,10.024180286085368
