year,n,n_compute,前沿算力_max,前沿算力_中位,最大参数量_B,最大数据量_tokens,开源权重占比
2018.0,60,34,4.7808e+20,2.1111e+17,6000000000.0,20000002000000.0,0.26666666666666666
2019.0,108,48,3.3e+22,2.72046e+19,50000000000.0,1.03000000103e+17,0.25925925925925924
2020.0,84,51,3.14e+23,2e+20,600000000000.0,1.03000000103e+17,0.32142857142857145
2021.0,131,88,2.047e+24,8.64095e+20,10000000000000.0,1.03000000103e+17,0.31297709923664124
2022.0,133,73,2.7415e+24,1.68e+22,173900000000000.0,4575625612000.0,0.41353383458646614
2023.0,363,167,5.0000000001e+25,6.21e+22,1800000000000.0,2.5900000000002592e+25,0.5840220385674931
2024.0,485,198,3.8e+25,2.01924e+23,1000000000000.0,4.40000000000044e+25,0.5690721649484536
2025.0,379,137,5.0000000000001e+26,1.215e+24,3000000000000.0,36000000000000.0,0.5936675461741425
2026.0,40,5,9.702e+24,5.8e+24,1040000000000.0,,0.45
