case,Q0,C_budget,N_B,D_B,Q,L,budget_relative_residual
参考配方固定基线,0.5486879207625752,1e+22,6.09052085407539,229.43872498342884,1.0,2.1450616230068653,0.0
仅将候选自身质量作为费用基线的对照,0.5353599676259162,1e+22,6.096837846276386,229.00292476142505,1.0,2.145136535886043,0.0
