case,gamma,objective,RMSE,MAE
原参数,0.9778867817378788,0.5768643278173705,0.03555716775844271,0.017130190223313805
gamma固定1受限拟合,1.0,0.5770032519869202,0.035552708641154174,0.017134555716055374
