param,original,restricted
E,1.655829298277712,1.6559073018498736
A,0.3807738432831394,0.38079033828069037
alpha,0.3266200361390786,0.32660382637224433
B,1.2514914814202815,1.2514524127363973
beta,0.2766577594921601,0.27665841891301296
C,0.3544331548328615,0.3572630407528302
gamma,0.9778867817378788,1.0
