case,C_budget,N_B,D_B,Q,L,budget_relative_residual
原参数,7.0794578438414025e+19,1.0321060464827456,6.342346519047044,1.0,2.7834152703393515,0.0
gamma固定1受限拟合,7.0794578438414025e+19,0.9797494828340375,6.977981321095866,0.9640472837436503,2.7832163104549954,0.0
