scope,model,n,spearman,selected_index,selected_observed_rank,selected_observed,best_observed,selection_regret
1B,ridge,64,-0.07953296703296703,36,64,2.2808723350214,2.045844187678184,0.2350281473432161
1B,sqrt_krr,64,0.6396062271062269,12,2,2.0524204739730187,2.045844187678184,0.0065762862948348655
1m,ridge,256,0.4279833772030212,240,58,5.071982386360637,4.8084621512735986,0.2635202350870385
1m,sqrt_krr,256,0.9627896829938201,239,1,4.8084621512735986,4.8084621512735986,0.0
60m,ridge,256,0.40169446669718467,240,72,3.6036350362031517,3.3680238696299973,0.2356111665731544
60m,sqrt_krr,256,0.9571891451132981,239,4,3.3952473282948428,3.3680238696299973,0.027223458664845435
train_oof,ridge,512,0.3154312186001534,125,142,5.102075044291968,4.833092749241491,0.26898229505047677
train_oof,sqrt_krr,512,0.956684215533125,170,2,4.861148867604878,4.833092749241491,0.02805611836338695
