scope,model,n_recipes,weighted_RMSE,weighted_Spearman,predicted_best_index,observed_rank_of_predicted_best,observed_regret_of_predicted_best
1B,ridge,64,3.287700103953269,-0.07953296703296703,36,64.0,0.2350281473432161
1B,sqrt_krr,64,2.8128770362661926,0.6396062271062269,12,2.0,0.0065762862948348655
1m,ridge,256,0.2305033323588704,0.4279833772030212,240,58.0,0.26352023508703937
1m,sqrt_krr,256,0.0700908840752797,0.9627896829938201,239,1.0,0.0
60m,ridge,256,1.5923679080579574,0.40169446669718467,240,72.0,0.23561116657315395
60m,sqrt_krr,256,1.5347348190243548,0.9571891451132981,239,4.0,0.02722345866484499
train_oof,ridge,512,0.30123005884753906,0.3154312186001534,125,142.0,0.26898229505047677
train_oof,sqrt_krr,512,0.10202423511553402,0.956684215533125,170,2.0,0.02805611836338695
