lambda,centered_relative_change,centered_sign_flips,recipe_L1_change,candidate_regret_under_main_model,own_model_reference_minus_candidate
0.0001,0.03898767948338784,2,1.2324733889351808e-14,-3.3386153363198904e-15,0.1986352586832555
0.001,7.824580825359577e-17,0,1.2324733889351808e-14,-3.3386153363198904e-15,0.19879908360788554
0.01,0.22648053200895693,5,1.2324733889351808e-14,-3.3386153363198904e-15,0.1993486596768038
0.1,0.5633399541339923,16,0.3427714843750046,0.002281460543751783,0.19711512476997772
