domain,pooled_calibration,A1_calibration
arxiv,0.7250089980279818,0.7296880042952985
book,0.5591777734508694,0.5093686823489785
c4,0.6327027209147381,0.5851901382275485
commoncrawl,0.6118956714868795,0.588447446017182
github,0.44919643547691745,0.49274230967047383
stackexchange,0.6332619879736073,0.6319706956199318
wikipedia,0.5450234347076541,0.504666997821889
