domain,n,flagged,flagged_fraction,flagged_below_median,flagged_equal_median,flagged_above_median
arxiv,18942,18942,1.0,9471,0,9471
book,171,171,1.0,85,1,85
c4,10000,10000,1.0,5000,0,5000
commoncrawl,9640,9640,1.0,4820,0,4820
github,213752,212739,0.995260863056252,106816,0,105923
stackexchange,10000,9967,0.9967,4988,0,4979
wikipedia,10000,9999,0.9999,5000,0,4999
