indicator,pooled_weight,A1_calibrated_weight
fineweb_edu,0.043308996127416385,0.05873063587491841
fluency_en,0.06749128852893499,0.052156569373672364
modernbert_cleanliness,0.14199498987652273,0.0599273030956552
modernbert_readability,0.05617901862306427,0.049286656217979743
modernbert_reasoning,0.1502080575536048,0.10511447113796024
modernbert_professionalism,0.03923360951913301,0.15600084535985687
dsir_books,0.008068245868445451,0.008050307003876527
dsir_wiki,0.008045504731791334,0.00774820275680346
dsir_math,0.008557964803627754,0.008319344446677026
qurater,0.058551492621253164,0.056880125169635254
ad_en,0.00708248851251949,0.01652746246615746
rps_doc_word_count,0.05107354074788578,0.051344126181802084
rps_doc_num_sentences,0.05175859288584294,0.04841888455880893
rps_doc_unigram_entropy,0.03432952771427541,0.033348632414733466
rps_doc_frac_unique_words,0.05325888755292112,0.04383915477836245
rps_doc_frac_no_alph_words,0.02844232764440533,0.013413224955942743
rps_doc_frac_chars_top_2gram,0.012840403829363124,0.015190010602897075
rps_doc_frac_chars_top_3gram,0.011808861610949762,0.013488289374387768
rps_lines_uppercase_letter_fraction,0.03132564576658935,0.05326373900038907
rps_lines_ending_with_terminal_punctution_mark,0.0871291825592458,0.07722488931708792
rps_lines_numerical_chars_fraction,0.01236799586930705,0.012769929270422073
rps_doc_mean_word_length,0.036943377052900926,0.05895719664197388
