N_B,D_B,D_over_N,Q,L,c_base,c_qual,c_attn,c_tot,f_base,f_qual,f_attn,form,L_ctx,C,attn_over_train
6.192886270815677,232.74915309141852,37.58330815604703,1.0,2.142815481814312,8.648334208342931e+21,1.0564693173457263e+21,2.9519647431143876e+20,1.0000000000000096e+22,0.8648334208342932,0.10564693173457262,0.029519647431143877,幂函数型,1024.0000000000002,1e+22,0.03413333333333334
6.177566122727842,232.2725437200795,37.599361804566875,1.0,2.1431425422499717,8.609273983949908e+21,1.0543059445880118e+21,3.36420071462072e+20,9.999999999999992e+21,0.8609273983949908,0.10543059445880118,0.0336420071462072,幂函数型,1172.2942216355982,1e+22,0.039076474054519944
6.1601666949347695,231.73060339097674,37.61758648211882,1.0,2.143515384713685,8.564994871237399e+21,1.0518460287433152e+21,3.831591000193114e+20,1.0000000000000025e+22,0.8564994871237399,0.10518460287433151,0.03831591000193114,幂函数型,1342.0642012502074,1e+22,0.04473547337500691
6.140429050910642,231.1149087057255,37.638234525558204,1.0,2.1439401683118198,8.514868197091186e+21,1.0490513352495636e+21,4.360804676593312e+20,1.000000000000008e+22,0.8514868197091185,0.10490513352495637,0.04360804676593312,幂函数型,1536.4200275289165,1e+22,0.05121400091763056
6.118064270534743,230.41625822819802,37.66162760628514,1.0,2.1444238075803606,8.458208860897472e+21,1.0458800979614657e+21,4.9591104114108695e+20,1.0000000000000025e+22,0.8458208860897471,0.10458800979614657,0.04959110411410869,幂函数型,1758.9221877708544,1e+22,0.058630739592361814
6.09275849529094,229.6244282587725,37.68808962906506,1.0,2.1449740440267613,8.394277115999765e+21,1.0422859105878846e+21,5.6343697341235914e+20,1.000000000000001e+22,0.8394277115999765,0.10422859105878846,0.05634369734123591,幂函数型,2013.6467939750162,1e+22,0.06712155979916722
6.064172183988308,228.7281558625643,37.71795208363188,1.0,2.1455995183224337,8.322281522860228e+21,1.038217649655455e+21,6.395008274843312e+20,1.0000000000000015e+22,0.8322281522860228,0.1038217649655455,0.06395008274843311,幂函数型,2305.260254874959,1e+22,0.07684200849583198
6.031937319772419,227.71523664049732,37.751591995834744,1.0,2.1463098411035704,8.241384205035741e+21,1.0336199183002601e+21,7.249958766640002e+20,1e+22,0.8241384205035741,0.103361991830026,0.07249958766640002,幂函数型,2639.104761871211,1e+22,0.08797015872904036
5.995661817850547,226.57243948425386,37.78939612799582,1.0,2.1471156597281555,8.150710346357969e+21,1.0284326593328905e+21,8.208569943091489e+20,1.0000000000000008e+22,0.8150710346357969,0.10284326593328905,0.08208569943091489,幂函数型,3021.2961549146594,1e+22,0.10070987183048864
5.954929059048678,225.28566289952983,37.83179625913462,1.0,2.1480287176629163,8.049360843524728e+21,1.0225918648037438e+21,9.280472916720092e+20,1.0000000000000482e+22,0.8049360843524728,0.10225918648037438,0.09280472916720092,幂函数型,3458.8359611877977,1e+22,0.11529453203959326
5.909306416221221,223.8398815213393,37.87921386288113,1.0,2.149061902465982,7.936430688481489e+21,1.0160293332311878e+21,1.0475399782875424e+21,1.0000000000000218e+22,0.793643068848149,0.10160293332311877,0.10475399782875425,幂函数型,3959.7396590682224,1e+22,0.13199132196894076
5.8583507172542255,222.21930902194444,37.932059678068796,1.0,2.150229277638356,7.811031890378679e+21,1.0086734090552898e+21,1.1802947005660356e+21,1.0000000000000004e+22,0.7811031890378679,0.10086734090552897,0.11802947005660355,幂函数型,4533.183517096669,1e+22,0.15110611723655562
5.8016124615971085,220.40773477360432,37.99077174364192,1.0,2.1515460930123327,7.6723215641696e+21,1.0004505107802818e+21,1.327227925050139e+21,1.000000000000002e+22,0.76723215641696,0.10004505107802818,0.1327227925050139,幂函数型,5189.672697955235,1e+22,0.17298908993184117
5.738650949517567,218.38863380586164,38.0557444122335,1.0,2.1530287679233706,7.519536844523112e+21,9.912856300805641e+20,1.4891775253964102e+21,1.0000000000000086e+22,0.7519536844523111,0.0991285630080564,0.148917752539641,幂函数型,5941.23370702436,1e+22,0.1980411235674787
5.6690458533292745,216.1455505180722,38.127324440520425,1.0,2.1546948412927422,7.352034221280302e+21,9.811040735063507e+20,1.6668617052134368e+21,1.000000000000009e+22,0.7352034221280302,0.09811040735063507,0.16668617052134369,幂函数型,6801.634711065715,1e+22,0.22672115703552387
5.592410391361263,213.66258118674224,38.20581220519728,1.0,2.1565628830644084,7.169333035642839e+21,9.698336526278258e+20,1.8608333117295097e+21,1.0000000000000174e+22,0.716933303564284,0.09698336526278258,0.18608333117295098,幂函数型,7786.637763143014,1e+22,0.25955459210476717
5.508411148720917,210.92476854175538,38.29139888926651,1.0,2.158652362324447,6.971162079460705e+21,9.574064750520874e+20,2.0714314454872637e+21,1.0000000000000057e+22,0.6971162079460705,0.09574064750520873,0.20714314454872637,幂函数型,8914.287554396575,1e+22,0.29714291847988583
5.416782568352523,207.91879250806198,38.38418653220911,1.0,2.1609834689952954,6.757505345343451e+21,9.437620797617365e+20,2.298732574895097e+21,1.0000000000000285e+22,0.6757505345343451,0.09437620797617366,0.2298732574895097,幂函数型,10205.2419824387,1e+22,0.3401747327479567
5.317346815820823,204.63354410334043,38.48414466675177,0.9999999999999998,2.1635768882975146,6.528645144888162e+21,9.288500420879226e+20,2.5425048130239935e+21,1.0000000000000078e+22,0.6528645144888162,0.09288500420879225,0.25425048130239936,幂函数型,11683.150592193262,1e+22,0.38943835307310876
5.21003312714809,201.06072102824828,38.59106384191198,1.0,2.1664535301791457,6.285198102752726e+21,9.126326771480086e+20,2.802169220099245e+21,9.99999999999998e+21,0.6285198102752726,0.09126326771480087,0.2802169220099245,幂函数型,13375.087821998704,1e+22,0.4458362607332902
5.094892519064328,197.19551017529585,38.70454763028261,1.0,2.1696342194811096,6.02813957751113e+21,8.950881378146601e+20,3.076772284674227e+21,1.0000000000000017e+22,0.602813957751113,0.08950881378146601,0.3076772284674227,幂函数型,15312.048991794662,1e+22,0.5104016330598221
4.97211328853448,193.03707706202945,38.823949870001194,1.0,2.173139356455817,5.758813296239827e+21,8.762126362970463e+20,3.3649740674631677e+21,1.0000000000000042e+22,0.5758813296239826,0.08762126362970463,0.3364974067463168,幂函数型,17529.518119611388,1e+22,0.584317270653713
