N_B,D_B,D_over_N,Q,L,c_base,c_qual,c_attn,c_tot,f_base,f_qual,f_attn,form,L_ctx,C,attn_over_train,is_above_crit
6.090520564163489,229.43873476549254,37.671448991652014,1.0,2.145061622649673,8.384407993829309e+21,1.0432164204586648e+21,5.7237558571208095e+20,1.0000000000000055e+22,0.8384407993829309,0.10432164204586648,0.057237558571208096,幂函数型,2048,1e+22,0.06826666666666667,False
5.898166579672434,223.3758510964452,37.8720824647938,1.0,2.1493541548229085,7.905047877857635e+21,1.0156495852189853e+21,1.0793025369234958e+21,1.0000000000000115e+22,0.7905047877857635,0.10156495852189852,0.10793025369234958,幂函数型,4096,1e+22,0.13653333333333334,False
5.562753826525388,212.59697485920975,38.21793692279966,1.0,2.1573328160080996,7.095747812434746e+21,9.666399849164521e+20,1.937612202648848e+21,1.0000000000000046e+22,0.7095747812434746,0.09666399849164521,0.1937612202648848,幂函数型,8192,1e+22,0.2730666666666667,False
4.318585530376829,170.18201903577884,39.40688863025232,1.0,2.1941136419080016,4.4096736296293714e+21,7.737868538474653e+20,4.816539516523175e+21,1.0000000000000013e+22,0.44096736296293715,0.07737868538474653,0.4816539516523175,幂函数型,32768,1e+22,1.0922666666666667,True
2.7051729267231583,109.0603620853372,40.31548630698617,1.0,2.272674135118419,1.7701628333512741e+21,4.9587773688204126e+20,7.733959429767274e+21,1.000000000000059e+22,0.17701628333512742,0.04958777368820413,0.7733959429767274,幂函数型,131072,1e+22,4.369066666666667,True
