N_B,D_B,D_over_N,Q,L,c_base,c_qual,c_attn,c_tot,f_base,f_qual,f_attn,form,L_ctx,C
0.07814835942522642,1.996407566114351,25.54637846267963,0.5510126482511157,3.7269411068384044,9.360958562156748e+17,0.0,6.39041437843234e+16,9.999999999999982e+17,0.9360958562156747,0.0,0.0639041437843234,幂函数型,2048,1e+18
0.08238523794036941,2.12480789829081,25.79112413110647,0.5510126482511157,3.694301048146843,1.0503168256695877e+18,0.0,7.17016286323772e+16,1.1220184543019649e+18,0.9360958562156761,0.0,0.0639041437843235,幂函数型,2048,1.1220184543019653e+18
0.08685182644185482,2.2614662802631385,26.038212124153024,0.5510126482511157,3.662219029952855,1.1784748612651264e+18,0.0,8.045055052903266e+16,1.258925411794159e+18,0.9360958562156673,0.0,0.06390414378432291,幂函数型,2048,1.2589254117941714e+18
0.09156057784643612,2.4069138585096317,26.28766566487236,0.5510126482511157,3.6306855115506473,1.322270542270422e+18,0.0,9.02670023523275e+16,1.4125375446227494e+18,0.9360958562156764,0.0,0.06390414378432352,幂函数型,2048,1.4125375446227497e+18
0.09652461350916455,2.561716119288769,26.539511800744442,0.5510126482511163,3.599691115349956,1.483611950007272e+18,4580.705379167978,1.0128124245382978e+17,1.5848931924611064e+18,0.9360958562156712,2.8902297018859693e-15,0.06390414378432316,幂函数型,2048,1.5848931924611108e+18
0.10175778329860544,2.726474465424513,26.793768270518907,0.5510126482511157,3.569226624087277,1.6646399869310925e+18,0.0,1.1363942310782925e+17,1.7782794100389217e+18,0.9360958562156759,0.0,0.06390414378432348,幂函数型,2048,1.7782794100389228e+18
0.10727464889104907,2.9018300291410672,27.050473333063444,0.551012648251116,3.539282978084812,1.867756785105664e+18,1902.588028940662,1.2750552986321333e+17,1.995262314968879e+18,0.9360958562156738,9.535528309571336e-16,0.06390414378432334,幂函数型,2048,1.995262314968883e+18
0.11309066237541794,3.0884624439335266,27.309614950180475,0.5510126482511158,3.509851272556232,2.0956575810362678e+18,1104.5202412367557,1.4306355753207589e+17,2.2387211385683446e+18,0.9360958562156751,4.933710689590808e-16,0.06390414378432342,幂函数型,2048,2.238721138568347e+18
0.11922196505709265,3.287099093826757,27.571254107853708,0.5510126482511157,3.480922754958559,2.351366479820487e+18,0.0,1.605199516890786e+17,2.511886431509566e+18,0.9360958562156741,0.0,0.06390414378432335,幂函数型,2048,2.511886431509572e+18
0.125685685311866,3.4985110895740177,27.835398127424803,0.5510126482511157,3.452488822389261,2.63827658318564e+18,0.0,1.801063480788064e+17,2.8183829312644465e+18,0.9360958562156756,0.0,0.06390414378432346,幂函数型,2048,2.818382931264449e+18
0.1324998448474679,3.723520100840815,28.10207140338378,0.5510126482511157,3.4245410190279055,2.960195013887016e+18,0.0,2.0208264628135363e+17,3.1622776601683697e+18,0.9360958562156736,0.0,0.06390414378432333,幂函数型,2048,3.1622776601683794e+18
0.13968343617192913,3.9630008216409274,28.37130106652785,0.5510126482511158,3.39707103362151,3.321393433913899e+18,1417.279537310932,2.2674045842185552e+17,3.5481338923357563e+18,0.9360958562156749,3.994436456787507e-16,0.06390414378432341,幂函数型,2048,3.5481338923357604e+18
0.14725650101067697,4.217883648906576,28.643106551884962,0.5510126482511158,3.37007069701291,3.7266647268487747e+18,1508.4327395820294,2.544069786862097e+17,3.9810717055349857e+18,0.9360958562156761,3.789011731400911e-16,0.06390414378432349,幂函数型,2048,3.9810717055349857e+18
0.15524013186972868,4.489159843483983,28.917521451547763,0.5510126482511157,3.3435319797113765,4.181386596520465e+18,0.0,2.854493249891304e+17,4.466835921509595e+18,0.936095856215672,0.0,0.06390414378432321,幂函数型,2048,4.4668359215096166e+18
0.16365660280928407,4.777883329414846,29.19456500623268,0.5510126482511157,3.31744698950475,4.69159292586687e+18,0.0,3.2027941040584506e+17,5.011872336272715e+18,0.9360958562156765,0.0,0.06390414378432353,幂函数型,2048,5.011872336272715e+18
0.1725294138657381,5.085175260793154,29.474251067417537,0.5510126482511157,3.2918079691124444,5.264053842895169e+18,0.0,3.593594090083102e+17,5.623413251903479e+18,0.9360958562156744,0.0,0.06390414378432338,幂函数型,2048,5.623413251903491e+18
0.18188323855030997,5.412231864834365,29.756627977224575,0.5510126482511157,3.2666072938785273,5.906365556167547e+18,0.0,4.032078886343712e+17,6.309573444801918e+18,0.9360958562156728,0.0,0.06390414378432327,幂函数型,2048,6.309573444801943e+18
0.1917441861148887,5.760323416796856,30.041710956208096,0.5510126482511158,3.2418374695042718,6.627051151873488e+18,2060.052186297246,4.524066919678967e+17,7.079457843841386e+18,0.9360958562156743,2.9099010570270394e-16,0.06390414378432335,幂函数型,2048,7.079457843841402e+18
0.20213974704347826,6.130802904723274,30.329526945557124,0.5510126482511157,3.2174911298194666,7.435673690005106e+18,0.0,5.07608657237682e+17,7.943282347242788e+18,0.9360958562156764,0.0,0.06390414378432352,幂函数型,2048,7.943282347242789e+18
0.2130989637619117,6.525108454363184,30.620085331120936,0.5510126482511157,3.193561034591821,8.342963100353304e+18,0.0,5.695462809841188e+17,8.912509381337422e+18,0.9360958562156746,0.0,0.06390414378432338,幂函数型,2048,8.91250938133744e+18
0.2246523018008083,6.944775316581449,30.913439394621243,0.5510126482511157,3.1700400673738374,9.360958562156757e+18,0.0,6.390414378432347e+17,9.999999999999992e+18,0.9360958562156757,0.0,0.06390414378432346,幂函数型,2048,1e+19
0.23683199838425822,7.391433821127594,31.209607956501916,0.5510126482511157,3.1469212333864887,1.050316825669585e+19,0.0,7.170162863237701e+17,1.122018454301962e+19,0.9360958562156738,0.0,0.06390414378432334,幂函数型,2048,1.1220184543019653e+19
0.24967208498342314,7.866817665681904,31.50859923408826,0.5510126482511157,3.1241976574390673,1.1784748612651362e+19,0.0,8.04505505290333e+17,1.2589254117941694e+19,0.9360958562156751,0.0,0.06390414378432344,幂函数型,2048,1.2589254117941713e+19
,,,,,,,,,,,,幂函数型,2048,1.4125375446227497e+19
0.27747831721714544,8.91127857536494,32.11522494707673,0.5510126482511157,3.079909364610313,1.483611950007279e+19,0.0,1.0128124245383025e+18,1.5848931924611092e+19,0.9360958562156755,0.0,0.06390414378432345,幂函数型,2048,1.5848931924611109e+19
0.3086256196710813,8.59660081818987,27.854462722024582,0.5762487055536063,3.058064716231487,1.591878752747264e+19,7.772840110410623e+17,1.0867225618754657e+18,1.778279410038917e+19,0.8951792073622564,0.04370989208181009,0.06111090055593005,幂函数型,2048,1.7782794100389229e+19
0.34333137954307025,8.290283054051201,24.14659290707566,0.6043599917369148,3.0359666188912624,1.7077885906499619e+19,1.708886898638458e+18,1.1658503445503741e+18,1.995262314968845e+19,0.8559218393680712,0.08564722973104963,0.05843093090086033,幂函数型,2048,1.9952623149688828e+19
0.3801543661947081,8.06388347509901,21.21212905119926,0.6325552651836371,3.013674033936073,1.8393123069265465e+19,2.7384511148894843e+18,1.2556372015285225e+18,2.238721138568347e+19,0.821590628345422,0.12232211809286407,0.056087253561714144,幂函数型,2048,2.238721138568347e+19
0.4196381824643531,7.887894641102358,18.796894493204057,0.6612042294873403,2.9912287449309485,1.9860370623975027e+19,3.9026923898573297e+18,1.3558013012633618e+18,2.5118864315095716e+19,0.7906555955254518,0.15536898248667727,0.05397542198787084,幂函数型,2048,2.511886431509572e+19
0.4623150449140363,7.743555822519777,16.749521582105615,0.6906002838938559,2.9686581564886203,2.147977414729547e+19,5.237702583560306e+18,1.466352581788704e+18,2.818382931264448e+19,0.7621311465173651,0.18584070054704896,0.05202815293558546,幂函数型,2048,2.8183829312644493e+19
0.5087586827995617,7.617580565411446,14.972875791512699,0.7210114640402888,2.9459791571102953,2.3253061527469605e+19,6.782306073938912e+18,1.5874090002752584e+18,3.1622776601683775e+19,0.7353263699883794,0.2144753498204133,0.05019828019120671,幂函数型,2048,3.162277660168379e+19
0.5596305307844526,7.499486277903839,13.400781167874387,0.7527159155625119,2.923200107866102,2.5181648917884264e+19,8.580622772679056e+18,1.7190672327942323e+18,3.5481338923357553e+19,0.709715294912589,0.24183480762137682,0.04844989746603273,幂函数型,2048,3.5481338923357606e+19
0.6157411113037196,7.379883778479721,11.985367946041743,0.7860398968490557,2.900321612786036,2.7264587034320376e+19,1.0684867546153198e+19,1.861262474876271e+18,3.981071705534985e+19,0.6848554623222115,0.2683917381165919,0.0467527995611963,幂函数型,2048,3.981071705534986e+19
0.6781556349016074,7.2488750448081225,10.689102429798215,0.821420412321946,2.8773361203343693,2.949519275000562e+19,1.3159627973356802e+19,2.013538491733717e+18,4.4668359215096136e+19,0.6603151149558543,0.29460737319649205,0.04507751184765298,幂函数型,2048,4.466835921509617e+19
0.7484421891784467,7.0932522894690475,9.477354954101664,0.8595550810570431,2.8542256446528804,3.185333563155146e+19,1.60908666853951e+19,2.17452104578058e+18,5.011872336272713e+19,0.6355576019169016,0.321054999125571,0.04338739895752716,幂函数型,2048,5.011872336272715e+19
0.8294862399812624,6.887768485822259,8.303656111254902,0.9019199265935718,2.8309544189605838,3.427985509899683e+19,1.961410597861321e+19,2.3401714414248504e+18,5.623413251903489e+19,0.6095916050166384,0.3487936080808921,0.04161478690246919,幂函数型,2048,5.6234132519034905e+19
0.9318059954074899,6.524611046639054,7.002113185358678,0.9549930683407988,2.807434307667301,3.6478030145761247e+19,2.41274707776407e+19,2.490233524617301e+18,6.309573444801924e+19,0.5781378165240818,0.3823946418678713,0.039467541608043985,幂函数型,2048,6.309573444801943e+19
1.0315301525212597,6.348842273752564,6.15478108733396,1.0,2.783271400367369,3.929413343386442e+19,2.8817965495464415e+19,2.6824795090851446e+18,7.0794578438413976e+19,0.5550443875874954,0.40706458221986425,0.03789103019263969,幂函数型,2048,7.0794578438414025e+19
1.0689174482883748,6.973649935679063,6.524030407442369,1.0,2.759674585370494,4.472553656701471e+19,3.1654023609104896e+19,3.0532632963082045e+18,7.943282347242781e+19,0.5630611454034427,0.398500547070348,0.03843830752620835,幂函数型,2048,7.94328234724279e+19
1.1079348073444713,7.65646033578509,6.910569362954041,0.9999999999999999,2.7366812255382325,5.089715344241184e+19,3.475336136262719e+19,3.474579008335315e+18,8.912509381337435e+19,0.5710754543382489,0.38993912797892605,0.03898541768282446,幂函数型,2048,8.91250938133744e+19
