C,L_ctx,attn_over_train,N_B,D_B,Q,L
1e+19,1024.0000000000002,0.03413333333333334,0.22802287256729015,7.067955395774225,0.5486879207625752,3.1642987761127856
1e+19,1502.7934295617079,0.0500931143187236,0.22642698847408324,7.009592134280492,0.5486879207625753,3.167389254942114
1e+19,2205.457121029138,0.07351523736763793,0.2241479149142961,6.926372324490816,0.5486879207625752,3.171853216413185
1e+19,3236.666475256511,0.10788888250855037,0.22093145011521878,6.809182936919974,0.5486879207625753,3.178256743279461
1e+19,4750.040149119269,0.15833467163730897,0.2164658540469509,6.6469941173714435,0.5486879207625752,3.187355070116095
1e+19,6971.024537354248,0.23236748457847498,0.21040227903678269,6.427736705341073,0.5486879207625753,3.2001156190950457
1e+19,10230.478390673237,0.34101594635577465,0.2024058357880799,6.140330924378424,0.5486879207625752,3.2177099811527126
1e+19,15013.960651149177,0.5004653550383059,0.19224162031709688,5.777971017674996,0.5486879207625752,3.241452962052763
1e+19,22034.063885004904,0.7344687961668303,0.17988026254062892,5.341936801649053,0.5486879207625753,3.2726769238505047
1e+19,32336.568782156486,1.077885626071883,0.16557879254710225,4.844203727727391,0.5486879207625752,3.312558593309538
1e+19,47456.233496479435,1.5818744498826478,0.1559502610090736,4.0045632817285055,0.571791840702975,3.3616774634424544
1e+19,69645.42567407772,2.321514189135924,0.14501323119120554,3.230180438030951,0.6025307408477325,3.4198280385353783
1e+19,102209.65634964076,3.406988544988026,0.132065968368996,2.5938384316711307,0.6356706640059364,3.4869054465022646
1e+19,150000.00000000003,5.000000000000001,0.1181307501956717,2.077286779463913,0.6711424380734439,3.5626001309506408
1e+20,1024.0000000000002,0.03413333333333334,1.172995295708932,8.456645097459285,0.9999999999999999,2.71055135950508
1e+20,1502.7934295617079,0.0500931143187236,1.1617457259119428,8.427108639521371,1.0,2.712362201757168
1e+20,2205.457121029138,0.07351523736763793,1.1457440381773034,8.384576234117473,1.0,2.714980547545614
1e+20,3236.666475256511,0.10788888250855037,1.123288623287996,8.323835170840704,1.0,2.718742134078231
1e+20,4750.040149119269,0.15833467163730897,1.0923624760787158,8.238082511885485,1.0,2.7240979365340587
1e+20,6971.024537354248,0.23236748457847498,1.0508378440884796,8.118906623134466,0.9999999999999983,2.7316314754983044
1e+20,10230.478390673237,0.34101594635577465,0.996908808767048,7.956688401233285,0.9999999999999999,2.742060111716282
1e+20,15013.960651149177,0.5004653550383059,0.9297442208403907,7.741667941864509,1.0,2.7562074317504885
1e+20,22034.063885004904,0.7344687961668303,0.8501854907875577,7.465728392531434,1.0,2.774938219246303
1e+20,32336.568782156486,1.077885626071883,0.7611131769204439,7.124610061673244,0.9999999999999999,2.7990624440860064
1e+20,47456.233496479435,1.5818744498826478,0.6671282144782469,6.719767683868273,0.9999999999999991,2.8292354108560054
1e+20,69645.42567407772,2.321514189135924,0.5735390978466265,6.259025277960737,1.0,2.865891873082791
1e+20,102209.65634964076,3.406988544988026,0.4851173928706447,5.755640863636323,1.0,2.909238995358332
1e+20,150000.00000000003,5.000000000000001,0.4052124859788958,5.226170746589674,1.0,2.9593035825100107
1e+21,1024.0000000000002,0.03413333333333334,2.5507243246289497,49.08323948745773,1.0,2.362475608144995
1e+21,1502.7934295617079,0.0500931143187236,2.5284514236100475,48.83414420327492,1.0,2.3638804526254664
1e+21,2205.457121029138,0.07351523736763793,2.4967424383593717,48.4764684521658,1.0,2.365911053375058
1e+21,3236.666475256511,0.10788888250855037,2.452188405132024,47.967767057551065,1.0,2.3688268226342015
1e+21,4750.040149119269,0.15833467163730897,2.3907170585581783,47.25379413067919,1.0,2.372975410487562
1e+21,6971.024537354248,0.23236748457847498,2.307969559400141,46.26969349784595,1.0,2.3788050912226315
1e+21,10230.478390673237,0.34101594635577465,2.2001226212203737,44.94540349598868,1.0,2.3868640708966264
1e+21,15013.960651149177,0.5004653550383059,2.065158582023492,43.217055996034276,1.0,2.3977766297467644
1e+21,22034.063885004904,0.7344687961668303,1.904256194507477,41.04406784856622,1.0,2.4121897799485756
1e+21,32336.568782156486,1.077885626071883,1.7226026325548658,38.42747606132011,1.0,2.4306962786916273
1e+21,47456.233496479435,1.5818744498826478,1.5289049834521373,35.42147237490582,1.0,2.453756319811954
1e+21,69645.42567407772,2.321514189135924,1.3335355829297972,32.13061660333306,1.0,2.4816482080851694
1e+21,102209.65634964076,3.406988544988026,1.1461424823059174,28.691901901399333,0.9999999999999999,2.5144671829121794
1e+21,150000.00000000003,5.000000000000001,0.9738500038335755,25.249069934252567,1.0,2.552167513430777
