domain,n,quality_mean,quality_std
github,213752,0.4491964354699387,0.08779098551638632
wikipedia,10000,0.5450234347037697,0.0924706033230844
book,171,0.5591777734481109,0.08661762670634597
commoncrawl,9640,0.6118956714829136,0.09792108418029466
c4,10000,0.6327027209126376,0.10230082360313028
stackexchange,10000,0.633261987970329,0.07437215026595805
arxiv,18942,0.7250089980256553,0.03775694828212178
