lambda,train_mean_R2,test1m_mean_R2,coef_L2
0.0001,0.6291439829887164,0.61867412247372,69.96126551054708
0.001,0.6289646324507253,0.6185892983926031,41.923919629791136
0.01,0.6285160401592912,0.6184672996025409,35.77458083529534
0.1,0.6237545880319466,0.6156845141903342,27.5111345413214
