start,success,objective,constraint_residual,iterations,stationarity_gap
0,True,4.644364002404474,4.720668300706166e-13,21,6.322017892385068e-07
1,True,4.644364002415388,6.306066779870889e-14,17,3.596739386602099e-07
2,True,4.644364002404474,1.6653345369377348e-13,14,2.1413965065053553e-07
3,True,4.64436400241175,1.7269172203349115e-15,18,4.683405104843885e-07
