loss_domain,intercept
arxiv,5.422855843409659
freelaw,3.5467618242788173
pubmed_central,3.9964569116953546
wikipedia_en,6.03788869537047
dm_mathematics,1.4647347128015547
github,3.9156409889536583
stackexchange,4.1179782639361315
gutenberg_pg_19,4.960673833609377
pile_cc,5.470508165781528
ubuntu_irc,3.2076421039338823
hackernews,4.652446151123985
pubmed_abstracts,4.925621387562945
uspto_backgrounds,5.306709301911371
