mixture_domain,quality_domain,mapping_type,Q_A1A3,Q_loss代理
arxiv,arxiv,direct,0.7250089980256553,0.5674716350461102
github,github,direct,0.4491964354699387,0.47895209239369063
stackexchange,stackexchange,direct,0.633261987970329,0.4916079882100528
wikipedia_en,wikipedia,near_direct,0.5450234347037697,0.27917809614352385
gutenberg_pg_19,book,near_direct,0.5591777734481109,0.4164510576085668
pile_cc,commoncrawl,near_direct,0.6118956714829136,0.31042133225868473
