scope,model,n,R2_mean,Spearman_domain_mean,RMSE_pooled,RMSE_domain_mean,MAE,RMSE_recipe_mean,Spearman_recipe_mean
train_oof,ridge,512,0.5957703355013696,0.8152507946521556,0.5761133725225477,0.49999883069230716,0.420000672505155,0.28406717879094157,0.49619875888351017
train_oof,sqrt_krr,512,0.932101652559961,0.9703116361878528,0.25576318319538444,0.20722106502639115,0.15522833804977276,0.09346943719600678,0.9571439479120175
1m,ridge,256,0.6185892983926032,0.8311045257672058,0.5231862702908713,0.4539246024368021,0.3858196327886117,0.22772794944947655,0.6248004406042571
1m,sqrt_krr,256,0.9454361015020317,0.9725008583199816,0.22556941998157864,0.17467544890545783,0.1344491466337749,0.07329029925772389,0.9643933108262759
60m,ridge,256,-7.952574703336608,0.8296769085515078,1.6216849219674356,1.5618271357123343,1.514215457431819,1.5206082268211356,0.5588263904783702
60m,sqrt_krr,256,-7.306806503767094,0.9708132691867526,1.5535582044246408,1.500831192949156,1.472080920826111,1.4686266380008477,0.9450653753719385
1B,ridge,64,-810.7434903801277,0.7125880529726684,3.256863951785673,3.2055900055289785,3.1899765938306186,3.1936367902932448,0.3697802197802197
1B,sqrt_krr,64,-555.8822883368193,0.8967420400112707,2.8675691107047836,2.820737011560377,2.795199200686432,2.794846157731492,0.6559065934065934
