domain,main_score,reversed_ad_score
arxiv,0.7250089980256553,0.45969483363049096
book,0.5591777734481109,0.3915703649724333
c4,0.6327027209126376,0.5199217776267092
commoncrawl,0.6118956714829136,0.4459997273499387
github,0.4491964354699387,0.29330238925768437
stackexchange,0.633261987970329,0.4012359260156915
wikipedia,0.5450234347037697,0.35348424461093525
