training_domain,marginal_effect_on_avg_loss
arxiv,1.1541361900618203
freelaw,1.2471854807503486
nih_exporter,-1.1118981639615328
pubmed_central,1.0883752425961721
wikipedia_en,0.964032648909371
dm_mathematics,-0.25624332904819624
github,1.2169215782845983
philpapers,-3.2218754119489526
stackexchange,0.8346618857698427
enron_emails,-3.220336151850954
gutenberg_pg_19,0.7238116690729162
pile_cc,1.0280452214795939
ubuntu_irc,-1.1783627896602973
europarl,-0.17694362167770142
hackernews,-0.8784958002918054
pubmed_abstracts,0.808744798511144
uspto_backgrounds,0.9782405530036324
