dataset,n,kendall_W,chi2,p_value,conflict_rate,indep_baseline,conflict_ratio_vs_indep
A1抽样集,51230,0.078272109344172,88215.64157103693,0.0,0.22524199075048187,0.2888443663464849,0.7798039947931391
A2+A3扩展集,221275,0.06283590665244035,305886.9529894659,0.0,0.22081506186353098,0.2888443663464849,0.7644776481416674
全量,272505,0.06865575074872911,411597.2674446969,0.0,0.22345543363873302,0.2888443663464849,0.7736188053973875
