training_domain,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,-2.762860212846343,1.4899573895264635,0.47316731393438416,0.8735960836122587,3.674031196167678,2.2598045626571968,1.42033348091041,0.933716198753416,0.8145931296475623,3.2755101514005673,1.335851556854885,0.8349578196129168,0.3811118005722671
freelaw,1.2288804417224255,-1.7376272851507863,1.224767975053693,0.8057885080651185,3.514851720980757,2.4869740096097184,1.7105311700409551,0.44406018123053015,0.5736505866265365,3.500889303758468,1.035352163337543,1.0301959757120889,0.39509649876748376
nih_exporter,2.0339143674133577,-2.932586512349562,-3.234492813477435,-0.8205710117498617,-1.1633683375836388,-1.6706331638139693,-1.609193745456985,-0.3305693183956879,-0.7073501503696343,0.3273690761355028,-0.1865641511225895,-3.954619451800219,-0.20601091892920317
pubmed_central,-0.1771358337303388,1.399569493995695,-1.9994601908184826,0.7742494388223657,3.467629442029403,2.5368447369575855,1.657295741645747,1.0646627983508739,0.7053579636347475,3.6548444831593327,1.3404201753616365,-0.4619284473898059,0.186528351731478
wikipedia_en,0.7114673115748296,0.848052336908549,0.635588398994754,-1.908497661628501,3.180746789526388,2.1573564597204813,1.3877612698806918,0.39866560334373036,0.011694111071429397,3.344040981722796,1.010835227817936,0.6036761041383438,0.15103750275039557
dm_mathematics,-0.23795618553783104,0.8677199593407047,0.5395232379208066,0.9675440371915627,-14.598355615410734,1.377655789939414,1.1388344244377433,0.9500438534558678,0.6948416875478465,3.35647239535607,0.9797646339101763,0.5294546819710999,0.10329382225072226
github,0.8255501147127866,1.7540925936911127,1.213337528424644,1.1197665421760006,3.437830174792513,-1.1731193904038286,0.17756954000114344,1.1194245694601144,0.9143911127558669,3.0642906138731565,1.1882971773469264,1.3624767662870785,0.8160731745822645
philpapers,-4.343402880355354,-2.7537133814640296,-3.408216257453346,-3.04755297602577,-6.226048521141763,-5.289349221506849,-3.894239102937267,-1.2318984046612467,-0.9338355846253589,-6.319126841027377,-0.282535917300668,-1.6942536745591084,-2.4602075922782376
stackexchange,-0.6929200506703319,1.7175000291483213,0.8307982733114532,0.8821011234342984,2.6189858865569944,0.13115911749655385,-1.425611407352442,0.883697977214168,0.5654164649713699,3.0235293036082593,0.7926679014880601,1.0453059929744588,0.47797390282679164
enron_emails,4.133065918609539,-4.9749950960682074,5.919797832044821,-1.6408812638498125,-13.13543635367672,-9.391620703788538,-3.8085666736103465,-3.4241845282015544,-2.8347839598692675,-12.797618800509788,-4.173202326936736,0.9008554919756213,3.3632004898185843
gutenberg_pg_19,0.1888821754498597,0.6970117240287882,0.6962606822065975,0.3678984928658894,2.4379382337828486,1.7354519438904226,1.2056292318329778,-2.4697409097854903,0.20139209222761045,2.832855408802419,0.6378345416148852,0.5822029500577928,0.29593513097330926
pile_cc,0.8381795682437514,0.6572371621289187,1.2676114802352332,-0.0013326459355547104,3.5643518456608536,2.052025647123545,1.2050949417304655,0.12113051638750959,-0.504314208118253,3.041648760744634,0.44309080044010063,0.6271077378508862,0.0527562727426282
ubuntu_irc,-0.7785314490913464,0.7001350757683006,-0.8592450502601345,0.5866156895083521,0.4954245723848911,-0.9994252172554632,-0.5612192061239512,0.5550612947945497,-0.14772593097000003,-15.331649709908717,0.0175574650052453,0.5786457095652882,0.42564049099911827
europarl,-1.6653455947563323,0.46277605894811547,-2.623394029825894,-0.20894867883431667,2.2796843533308544,0.6660772085835396,0.19979375544944944,0.29130071272498015,0.23631604141670065,-1.9783656013170532,0.9921019146081586,0.0006128972782999398,-0.9528761194166198
hackernews,0.09411190990711688,-0.8558347681157956,-0.4766763159209206,-0.1641565613220749,-0.3601272306390362,-0.43714551635461973,-1.0972372928205147,-1.1148827635801037,-0.7158800092708979,0.5506672946156475,-7.26737799135256,0.3481650357123642,0.07592880534792515
pubmed_abstracts,0.06271703912041238,1.3487120436768194,-0.4814202453382177,0.6918593124947031,3.482413420745696,1.4843704085990295,0.9806978964293757,0.7984760026601887,0.530610769995484,3.3511491771489696,1.0134737423254871,-2.396211445078925,-0.35316574213415075
uspto_backgrounds,0.541383360233799,1.3119931759865926,0.28205218096804363,0.7225215711753432,3.329448422493011,2.0735733285457787,1.3125259759425476,1.0110362162481545,0.5956258833282579,3.1034940024371167,1.1224330866015138,0.06335585569181809,-2.7523158706047566
