scheme,score_mean,score_std,corr_with_entropy,domain_spearman_vs_entropy
熵权法,0.4951575263874397,0.11565932793516744,1.0,1.0
等权平均,0.63926447609108,0.06668443761174173,0.854210437312326,0.6785714285714287
PCA第一主成分,0.519852473300414,0.16656416117489212,0.8805439622471385,0.6785714285714287
