domain,Q_A1,Q_扩展集,差值_A1减扩展
arxiv,0.7031289631597092,0.7010545000836453,0.0020744630760638483
book,0.5524455473605695,,
c4,0.6367881881038857,,
commoncrawl,0.6153107210122949,,
github,0.4552765836231684,0.4547027242876779,0.0005738593354905341
stackexchange,0.6548498004306916,,
wikipedia,0.550878498472236,,
